,dataset,participant,muscle,test 00,test 01,test 02,test 03,test 04,test 05,test 06,test 07,test 08,test 09,test 10,test 11,test 12,test 13,test 14,test 15
458,Landry2015_1,45,upper trapezius,0.24155300612494465,,0.07267449433732413,0.25005190039549047,0.25895698456393845,0.147809862530147,,,0.2468200041095383,0.07688618634062849,0.01794659555106562,,,,0.02098081106948702,
459,Landry2015_2,128,anterior deltoid,0.10895191638750461,,0.06883662416310206,0.15981032528235517,0.11935914918806552,0.07945949537697448,,,,,,,,,0.17814964273886555,
460,Landry2015_2,128,lower trapezius,0.014134923054653092,,0.0765201287604652,0.015414865726895752,0.013326464521486312,0.019465136039167465,,,,,,,,,0.020332417907874704,
461,Landry2015_2,128,middle deltoid,0.09221057991501332,,0.11328815084507968,0.08176598587811588,0.10974913659680055,0.12314909067645412,,,,,,,,,0.10737838559109655,
462,Landry2015_2,128,posterior deltoid,0.12190832684344642,,0.17664715096220887,0.06329780266186212,0.11511301068132769,0.2903442033208925,,,,,,,,,0.0929279207246385,
463,Landry2015_2,128,serratus anterior,0.09270059385464274,,0.06429093088423497,0.07749048693566846,0.09548325162141488,0.013279897933703926,,,,,,,,,0.07274665190829911,
464,Landry2015_2,128,upper trapezius,0.39005213270592365,,0.29451395793230634,0.32080366333167515,0.34120487032236935,0.1226972367824339,,,,,,,,,0.383406481009628,
465,Landry2015_2,129,anterior deltoid,0.18654620208967768,,0.14661792321767317,0.1537438243393263,0.174898680695331,0.08251483896218746,,,,,,,,,0.27026955861944063,
466,Landry2015_2,129,lower trapezius,0.0653889152412231,,0.1632165174795998,0.07900531663510232,0.06620583162471046,0.05387324007344109,,,,,,,,,0.04439034958270281,
467,Landry2015_2,129,middle deltoid,0.1948772292159885,,0.04198914270976866,0.17613644036915305,0.20851654218915872,0.13883454695525702,,,,,,,,,0.15153442909732237,
468,Landry2015_2,129,posterior deltoid,0.1096392736435797,,0.017210593358296822,0.08075576226441995,0.14325537861655777,0.1636554741728541,,,,,,,,,0.1157062807362093,
469,Landry2015_2,129,serratus anterior,0.07834642823911596,,0.05117836499368167,0.09939043770004292,0.09171998817814896,0.042957800875919216,,,,,,,,,0.10940158234003225,
470,Landry2015_2,129,upper trapezius,0.1446474814485645,,0.054333241476594366,0.12834335565445973,0.17673658601118397,0.1564837192666985,,,,,,,,,0.1511736534410881,
471,Landry2015_2,130,anterior deltoid,0.11347327500084765,,0.1655714335323738,0.1739205257271933,0.18174696027945653,0.036153044526235294,,,,,,,,,0.22549404589559008,
472,Landry2015_2,130,lower trapezius,0.02476363809315509,,0.3326214401252758,0.2239519739070406,0.25917786820329536,0.1458802964044023,,,,,,,,,0.12236780654013865,
473,Landry2015_2,130,middle deltoid,0.07484661496205035,,0.2098690573484174,0.14966855677050436,0.1861685879305326,0.1241459455620466,,,,,,,,,0.1830435691494535,
474,Landry2015_2,130,posterior deltoid,0.07781203527582418,,0.1835727279862946,0.07537050717239308,0.13845668244413623,0.21791297519920066,,,,,,,,,0.08907686362361175,
475,Landry2015_2,130,serratus anterior,0.0701144464964257,,0.09343609782729828,0.08659678346334315,0.10227383667439788,0.04782742596492156,,,,,,,,,0.11779238182075077,
476,Landry2015_2,130,upper trapezius,0.16122774622830582,,0.4222623723755983,0.32368127753866766,0.3334594890034473,0.08077845988415497,,,,,,,,,0.07364830158768751,
477,Landry2015_2,131,anterior deltoid,0.3164063037639239,,0.07620845900008551,0.350835662123998,0.2973981726703249,0.06568308974187458,,,,,,,,,0.29671078762573994,
478,Landry2015_2,131,lower trapezius,0.2774079559711457,,0.5027037629390979,0.11239535313267379,0.18169300747225262,0.14286806166473628,,,,,,,,,0.21953700050364486,
479,Landry2015_2,131,middle deltoid,0.15948274191760148,,0.07897923401122417,0.11213537150044113,0.156064337214677,0.13449652693351546,,,,,,,,,0.1060863950803798,
480,Landry2015_2,131,posterior deltoid,0.16244518005114544,,0.09893846693945813,0.11092105153514487,0.14128110576208705,0.17912580148343352,,,,,,,,,0.14847521042780382,
481,Landry2015_2,131,serratus anterior,0.2170497412751889,,0.016298192717473337,0.21949578682946833,0.2027632291599098,0.013702826884919157,,,,,,,,,0.21532925882565962,
482,Landry2015_2,131,upper trapezius,0.4056330840261158,,0.11671428464336367,0.30919545372401364,0.3354826983221972,0.19388978344745833,,,,,,,,,0.28266967689660744,
483,Landry2015_2,132,anterior deltoid,0.190782617626585,,0.10961228461471059,0.15204568943620428,0.15209718549905088,0.06833139121974059,,,,,,,,,0.17181228850731953,
484,Landry2015_2,132,lower trapezius,0.09333582596308633,,0.16736879971029275,0.0938013492562718,0.11707672669957282,0.076519908560719,,,,,,,,,0.08584070419360156,
485,Landry2015_2,132,middle deltoid,0.1658056881555027,,0.14344840602594702,0.18846616355900433,0.18621014670190925,0.09011973785557599,,,,,,,,,0.17861707749610767,
486,Landry2015_2,132,posterior deltoid,0.06817325951630586,,0.1318249140819002,0.08468441011900495,0.0913145521543627,0.1805530635293872,,,,,,,,,0.08349263588508668,
487,Landry2015_2,132,serratus anterior,0.10530291099883919,,0.11102655619206905,0.08187526341374964,0.0667124188558311,0.01582762570326322,,,,,,,,,0.09479802446247519,
488,Landry2015_2,132,upper trapezius,0.2903667767688482,,0.2597103086749726,0.27484911142758733,0.23525995446356027,0.07129968172166946,,,,,,,,,0.26545774210587625,
489,Landry2015_2,133,anterior deltoid,0.2864382596810433,,0.2629375397950345,0.34689874467190945,0.19738012819961814,0.019746540111437266,,,,,,,,,0.26468811569620393,
490,Landry2015_2,133,lower trapezius,0.07023427984493999,,0.4567458987630457,0.3929084534908565,0.30362130915193614,0.2759894083563524,,,,,,,,,0.06928306807035782,
491,Landry2015_2,133,middle deltoid,0.10701479708226296,,0.2926447693304753,0.08641223833758617,0.34250011537792624,0.08646882657133757,,,,,,,,,0.10260129422294038,
492,Landry2015_2,133,posterior deltoid,0.08245660715095891,,0.09806790432421975,0.047025842930136286,0.09534768539557358,0.24115311793908362,,,,,,,,,0.10071529766251258,
493,Landry2015_2,133,serratus anterior,0.21706683417208417,,0.25317097125338056,0.29202730025167345,0.3069250928966369,0.05794570497674258,,,,,,,,,0.20161658903139335,
494,Landry2015_2,133,upper trapezius,0.3418228687624983,,0.4008831096049824,0.30437538710459905,0.3160064877000491,0.1879973238661886,,,,,,,,,0.039650897101255085,
495,Landry2015_2,134,anterior deltoid,0.4983484475823281,,0.18165313151956822,0.6607434856471543,0.5137281205308704,0.06821854714741374,,,,,,,,,0.6015173467337169,
496,Landry2015_2,134,lower trapezius,0.1754206213173184,,0.26046647267682027,0.21856785107028975,0.1929658123984511,0.09018932295014168,,,,,,,,,0.35208027527847724,
497,Landry2015_2,134,middle deltoid,0.30442788304574026,,0.25771925558768766,0.27306605752297675,0.3209305228752748,0.30264922084602264,,,,,,,,,0.18776033144288223,
498,Landry2015_2,134,posterior deltoid,0.10768760835389626,,0.15576328067880132,0.115196176055373,0.16368487704922238,0.24591026839588018,,,,,,,,,0.20563325611863054,
499,Landry2015_2,134,serratus anterior,0.35192484170672683,,0.28321760219309583,0.3087144750400761,0.2894849048808,0.033831886834721936,,,,,,,,,0.3496997242782811,
500,Landry2015_2,134,upper trapezius,0.26491758686724365,,0.3248346389751012,0.36541513095904893,0.41123033713329415,0.26656973462078515,,,,,,,,,0.24925984424640937,
501,Landry2015_2,135,anterior deltoid,0.09634059796639029,,0.29725859193656756,0.37105366310439436,0.30223330078733973,0.008857670256158195,,,,,,,,,0.13742735869857756,
502,Landry2015_2,135,lower trapezius,0.11311514748887187,,0.235331960371595,0.11822629153355711,0.14388551923055376,0.11290817706125938,,,,,,,,,0.016667300536590882,
503,Landry2015_2,135,middle deltoid,0.26832096998135074,,0.121884751480417,0.1355333610476892,0.2131974944140578,0.0722802815191397,,,,,,,,,0.0489481347778827,
504,Landry2015_2,135,posterior deltoid,0.12402988140631065,,0.16340118375015475,0.16769855712168666,0.13904709428900905,0.33983606211315026,,,,,,,,,0.1055483623558846,
505,Landry2015_2,135,serratus anterior,0.2018812812380699,,0.14550156696834143,0.19504441948132478,0.1808147167747559,0.014101852177980545,,,,,,,,,0.12371349511196594,
506,Landry2015_2,135,upper trapezius,0.34082997645773755,,0.2740541940400708,0.22288427603762076,0.3840806047002941,0.09054440468587645,,,,,,,,,0.011225509619821645,
